listing_id,dad__work__drive_min,dad__work__transit_min,dad__work__walk_min,dad__gym__drive_min,dad__gym__transit_min,dad__gym__walk_min,mom__work__drive_min,mom__work__transit_min,mom__work__walk_min,mom__mart__drive_min,mom__mart__transit_min,mom__mart__walk_min,child__school__drive_min,child__school__transit_min,child__school__walk_min,child__academy__drive_min,child__academy__transit_min,child__academy__walk_min
H0371,29.6,50.8,128.3,26.7,40.6,113.1,50.6,74.8,256.2,38.2,,220.6,51.3,75.9,260.2,56.1,81.1,278.3
H0372,26.5,41.6,93.9,21.0,33.2,89.4,44.6,66.5,229.3,39.1,55.1,156.2,44.5,64.4,231.3,57.1,83.4,256.5
H0373,34.1,,,29.9,45.1,136.1,31.8,52.4,159.9,28.3,39.5,126.1,31.1,43.3,,35.1,54.5,
H0374,26.9,43.3,106.8,24.0,42.1,118.8,50.9,75.4,266.6,53.2,78.6,256.4,50.7,82.6,283.9,60.1,84.7,304.6
H0375,52.0,73.4,258.2,43.5,64.4,243.8,24.8,41.9,110.9,24.2,42.0,113.1,23.3,35.2,92.9,17.6,27.6,82.2
H0376,62.2,79.1,248.7,47.4,80.1,,32.4,37.0,109.6,28.7,36.6,137.2,,34.8,95.4,19.0,32.8,83.4
H0377,47.9,65.8,237.6,46.6,59.4,247.5,29.0,45.6,132.8,27.0,36.6,113.7,26.7,37.6,99.3,20.2,34.4,104.4
H0378,30.4,,175.5,34.9,,149.1,30.4,48.4,152.2,26.6,41.4,113.4,33.2,44.7,137.9,35.7,51.0,164.4
H0379,40.7,55.1,185.2,28.6,56.7,164.9,30.8,47.7,146.6,27.0,38.6,116.0,24.9,41.0,126.9,32.6,44.2,159.3
H0380,18.3,27.9,79.1,22.3,35.7,92.9,42.1,68.5,209.9,45.6,,220.2,47.6,78.4,233.6,54.6,,289.2
H0381,11.2,20.0,28.4,,23.8,45.4,43.8,55.0,207.7,37.9,63.0,178.7,41.9,66.6,211.9,47.7,77.6,
H0382,61.8,81.8,316.0,54.4,76.9,304.5,29.8,42.6,171.0,31.1,49.2,164.8,25.8,41.7,130.8,21.5,36.1,102.8
H0383,24.8,48.5,122.8,26.2,39.4,101.6,49.0,66.1,245.1,41.9,65.7,205.1,48.9,79.6,250.5,56.8,72.4,274.6
H0384,62.8,105.1,386.1,62.3,92.8,338.0,72.1,100.4,358.0,57.2,86.9,344.4,77.8,86.0,360.5,60.8,105.7,361.2
H0385,35.2,59.0,,36.3,51.8,189.3,37.0,56.7,181.3,30.0,50.8,153.4,31.8,49.9,138.8,39.1,55.0,190.1
H0386,40.1,63.9,194.1,35.5,58.4,192.6,27.1,37.6,,22.9,36.5,94.7,23.9,37.4,108.1,29.3,36.7,120.7
H0387,15.0,24.8,50.0,13.1,26.5,51.0,43.6,60.0,205.9,37.4,59.2,,49.6,67.1,242.3,58.2,67.4,263.4
H0388,47.8,67.0,242.8,46.8,61.4,234.0,28.3,41.5,134.5,26.9,42.2,119.0,24.3,40.2,105.0,22.6,37.6,120.0
H0389,55.8,73.7,299.8,49.8,73.6,301.8,26.5,41.5,120.5,31.3,39.3,154.3,22.6,35.0,98.7,17.7,26.9,
H0390,8.7,17.8,22.1,12.3,20.1,40.5,36.2,50.6,178.0,32.6,58.3,177.0,38.6,57.5,203.1,48.1,65.7,230.5
H0391,14.5,27.0,74.8,17.9,32.8,70.8,49.8,59.9,229.8,43.6,64.1,190.6,49.9,72.9,218.7,,83.6,275.6
H0392,56.0,74.0,313.8,49.0,82.1,298.8,28.8,42.0,149.2,27.9,50.1,111.5,24.7,37.8,112.5,18.1,31.4,77.2
H0393,19.5,33.5,82.5,21.9,35.7,84.7,45.9,71.6,282.5,45.0,62.7,248.2,54.1,82.2,281.1,59.5,86.2,327.8
H0394,13.5,23.3,44.9,15.3,28.7,,38.5,54.5,206.5,35.8,52.7,185.5,46.2,67.4,,,68.7,238.5
H0395,35.2,,185.1,33.3,49.4,146.3,13.3,21.5,37.4,9.2,15.4,18.7,13.7,22.5,36.1,19.9,28.9,65.3
H0396,66.4,93.9,400.1,64.6,92.9,306.2,63.0,93.6,374.8,54.0,83.8,280.1,60.7,84.6,269.4,57.4,96.1,335.9
H0397,11.4,21.0,27.0,8.4,16.3,13.4,37.6,49.4,173.2,35.1,49.8,162.0,39.9,58.3,202.1,48.6,64.6,220.4
H0398,24.8,41.0,102.0,22.2,34.4,92.5,44.8,66.2,224.1,40.6,59.4,220.9,43.9,66.6,274.1,48.2,79.2,272.4
H0399,66.0,98.5,,67.1,84.3,306.3,62.3,93.0,278.1,53.6,75.9,286.4,54.6,84.5,304.8,54.6,75.9,289.1
H0400,,88.6,300.4,53.5,96.9,318.0,57.7,84.9,351.8,51.5,74.7,288.2,57.1,82.2,276.9,63.4,96.7,338.9
